X,Y,id,Area,Pacount,Order,MR,OB,JB,GB,AO,BB,GM,Gridall,GridT1,GridPA
131734.8735,973238.7866,0,2915876.351,0,285,0,0,0,0,0,0,0,0,0,0
131734.8735,974946.3803,0,2915875.857,0,286,0,0,0,0,0,0,0,0,0,0
131734.8735,976653.974,0,2915876.351,0,287,0,0,0,0,0,0,0,0,0,0
131734.8735,978361.5677,0,2915876.351,0,288,0,0,0,0,0,0,0,0,0,0
131734.8735,980069.1615,0,2915876.351,0,289,0,0,0,0,0,0,0,0,0,0
131734.8735,981776.7552,0,2915876.351,0,290,0,0,0,0,0,0,0,0,0,0
131734.8735,983484.3489,0,2915876.351,0,291,0,0,0,0,0,0,0,0,0,0
131734.8735,985191.9426,0,2915876.351,0,292,0,0,0,0,0,0,0,0,0,0
131734.8735,986899.5363,0,2915876.351,0,293,0,0,0,0,0,0,0,0,0,0
131734.8735,988607.13,0,2915876.351,0,294,0,0,0,0,0,0,0,0,0,0
131734.8735,990314.7238,0,2915876.351,0,295,0,0,0,0,0,0,0,0,0,0
131734.8735,992022.3175,0,2915876.351,0,296,0,0,0,0,0,0,0,0,0,0
131734.8735,993729.9112,0,2915876.351,0,297,0,0,0,0,0,0,0,0,0,0
131734.8735,995437.5049,0,2915876.351,0,298,0,0,0,0,0,0,0,0,0,0
131734.8735,997145.0986,0,2915876.351,0,299,0,0,0,0,0,0,0,0,0,0
131734.8735,998852.6924,0,2915876.351,0,300,0,0,0,0,0,0,0,0,0,0
131734.8735,1000560.286,0,2915876.351,0,301,0,0,0,0,0,0,0,0,0,0
131734.8735,1002267.88,0,2915876.845,0,302,0,0,0,0,0,0,0,0,0,0
131734.8735,1003975.474,0,2915875.857,0,303,0,0,0,0,0,0,0,0,0,0
131734.8735,1005683.067,0,2915875.857,0,304,0,0,0,0,0,0,0,0,0,0
131734.8735,1007390.661,0,2915876.845,0,305,0,0,0,0,0,0,0,0,0,0
131734.8735,1009098.255,0,2915875.857,0,306,0,0,0,0,0,0,0,0,0,0
